Sl.no     |Class          |Prior          |Word           |log(Probablity) 
163       |neg            |0.5            |calibre        |-12.297116921107902 
164       |neg            |0.5            |pay-per-view   |-11.044353952612534 
165       |neg            |0.5            |intellectual   |-10.425314744206311 
166       |neg            |0.5            |kristen        |-11.891651812999738 
167       |neg            |0.5            |wishing        |-10.687679008673802 
168       |neg            |0.5            |goth           |-11.198504632439793 
169       |neg            |0.5            |picture        |-7.753822138837898 
170       |neg            |0.5            |trainspotting  |-12.297116921107902 
171       |neg            |0.5            |rose           |-9.994531828113857 
172       |neg            |0.5            |thousand       |-10.157050757611632 
173       |neg            |0.5            |com            |-10.157050757611632 
174       |neg            |0.5            |father-in-law  |-12.297116921107902 
175       |neg            |0.5            |col            |-11.380826189233748 
176       |neg            |0.5            |rooting        |-10.592368828869477 
177       |neg            |0.5            |con            |-9.622968271681374 
178       |neg            |0.5            |kudos          |-11.603969740547956 
179       |neg            |0.5            |cop            |-8.770756396491741 
180       |neg            |0.5            |cow            |-11.603969740547956 
181       |neg            |0.5            |diedre         |-10.505357451879847 
182       |neg            |0.5            |madman         |-11.198504632439793 
183       |neg            |0.5            |graces         |-11.380826189233748 
184       |neg            |0.5            |cox            |-10.351206772052588 
185       |neg            |0.5            |docudrama      |-12.297116921107902 
186       |neg            |0.5            |homicide       |-10.910822559988011 
187       |neg            |0.5            |hilary         |-12.990264101667847 
188       |neg            |0.5            |abilities      |-9.658059591492643 
189       |neg            |0.5            |peacemaker     |-11.380826189233748 
190       |neg            |0.5            |graced         |-11.380826189233748 
191       |neg            |0.5            |representative |-11.380826189233748 
192       |neg            |0.5            |actress        |-8.727584224626533 
193       |neg            |0.5            |circumstances  |-10.217675379428066 
194       |neg            |0.5            |sneaks         |-11.380826189233748 
195       |neg            |0.5            |hutter         |-12.990264101667847 
196       |neg            |0.5            |conveniently   |-10.687679008673802 
197       |neg            |0.5            |plenty         |-9.14011649995779 
198       |neg            |0.5            |christmas      |-9.463903577051687 
199       |neg            |0.5            |defeats        |-11.891651812999738 
200       |neg            |0.5            |bandits        |-12.990264101667847 
201       |neg            |0.5            |rarity         |-12.297116921107902 
202       |neg            |0.5            |boggs          |-10.910822559988011 
203       |neg            |0.5            |became         |-9.812210271319902 
204       |neg            |0.5            |chicken        |-10.505357451879847 
205       |neg            |0.5            |soulless       |-11.198504632439793 
206       |neg            |0.5            |renowned       |-11.044353952612534 
207       |neg            |0.5            |specializes    |-11.603969740547956 
208       |neg            |0.5            |effective      |-9.27669203496354 
209       |neg            |0.5            |times          |-7.717264543104101 
210       |neg            |0.5            |muscle         |-10.793039524331629 
211       |neg            |0.5            |comments       |-9.854769885738698 
212       |neg            |0.5            |bachelor       |-10.910822559988011 
213       |neg            |0.5            |aforementioned |-10.099892343771684 
214       |neg            |0.5            |cry            |-10.045825122501407 
215       |neg            |0.5            |annette        |-11.380826189233748 
216       |neg            |0.5            |mcgowan        |-10.099892343771684 
217       |neg            |0.5            |faith'         |-12.990264101667847 
218       |neg            |0.5            |reservations   |-11.603969740547956 
219       |neg            |0.5            |hedaya         |-12.990264101667847 
220       |neg            |0.5            |productions    |-10.910822559988011 
221       |neg            |0.5            |sketch         |-10.505357451879847 
222       |neg            |0.5            |disfigured     |-11.891651812999738 
223       |neg            |0.5            |japan          |-11.044353952612534 
224       |neg            |0.5            |overacted      |-11.380826189233748 
225       |neg            |0.5            |victim's       |-11.198504632439793 
226       |neg            |0.5            |pity           |-11.044353952612534 
227       |neg            |0.5            |freshness      |-11.603969740547956 
228       |neg            |0.5            |pitt           |-9.854769885738698 
229       |neg            |0.5            |uncertain      |-11.198504632439793 
230       |neg            |0.5            |defines        |-11.380826189233748 
231       |neg            |0.5            |beautiful      |-8.659530761381516 
232       |neg            |0.5            |eventual       |-11.603969740547956 
233       |neg            |0.5            |worked         |-9.183601611897528 
234       |neg            |0.5            |mccoy          |-10.910822559988011 
235       |neg            |0.5            |accuses        |-12.297116921107902 
236       |neg            |0.5            |worker         |-10.910822559988011 
237       |neg            |0.5            |defined        |-11.044353952612534 
238       |neg            |0.5            |element        |-9.03902038308642 
239       |neg            |0.5            |picks          |-9.854769885738698 
240       |neg            |0.5            |ivan           |-11.044353952612534 
241       |neg            |0.5            |undercover     |-10.099892343771684 
242       |neg            |0.5            |jackal         |-9.945741663944425 
243       |neg            |0.5            |piss           |-11.198504632439793 
244       |neg            |0.5            |restraint      |-10.592368828869477 
245       |neg            |0.5            |cue            |-10.687679008673802 
246       |neg            |0.5            |two-dimensional|-11.380826189233748 
247       |neg            |0.5            |creating       |-9.463903577051687 
248       |neg            |0.5            |directs        |-10.592368828869477 
249       |neg            |0.5            |courtney       |-10.099892343771684 
250       |neg            |0.5            |shots          |-8.672775988131537 
251       |neg            |0.5            |cup            |-10.505357451879847 
252       |neg            |0.5            |sweeping       |-11.198504632439793 
253       |neg            |0.5            |cut            |-8.620816249200827 
254       |neg            |0.5            |anaconda       |-9.945741663944425 
255       |neg            |0.5            |dread          |-12.990264101667847 
256       |neg            |0.5            |unappealing    |-10.687679008673802 
257       |neg            |0.5            |worried        |-10.592368828869477 
258       |neg            |0.5            |kitchen        |-11.044353952612534 
259       |neg            |0.5            |shout          |-10.592368828869477 
260       |neg            |0.5            |prevented      |-11.380826189233748 
261       |neg            |0.5            |creation       |-10.687679008673802 
262       |neg            |0.5            |immigrants     |-11.603969740547956 
263       |neg            |0.5            |think          |-7.07946745762732 
264       |neg            |0.5            |ingredient     |-11.198504632439793 
265       |neg            |0.5            |accused        |-10.217675379428066 
266       |neg            |0.5            |reporter       |-10.157050757611632 
267       |neg            |0.5            |marvin         |-10.910822559988011 
268       |neg            |0.5            |marketing      |-10.157050757611632 
269       |neg            |0.5            |torture        |-10.282213900565637 
270       |neg            |0.5            |mistress       |-11.044353952612534 
271       |neg            |0.5            |thing          |-7.1438253266101235 
272       |neg            |0.5            |won't          |-8.415553123164464 
273       |neg            |0.5            |slapped        |-12.297116921107902 
274       |neg            |0.5            |summer's       |-10.793039524331629 
275       |neg            |0.5            |domestic       |-11.044353952612534 
276       |neg            |0.5            |kevin          |-8.092424301716937 
277       |neg            |0.5            |deception      |-11.198504632439793 
278       |neg            |0.5            |holidays       |-11.603969740547956 
279       |neg            |0.5            |paying         |-10.157050757611632 
280       |neg            |0.5            |shoot          |-9.326702455538202 
281       |neg            |0.5            |starts         |-8.186243056934591 
282       |neg            |0.5            |stability      |-11.603969740547956 
283       |neg            |0.5            |budget         |-8.947212833833298 
284       |neg            |0.5            |actual         |-8.947212833833298 
285       |neg            |0.5            |glass          |-10.505357451879847 
286       |neg            |0.5            |widely         |-11.380826189233748 
287       |neg            |0.5            |jacket         |-10.687679008673802 
288       |neg            |0.5            |savannah       |-12.297116921107902 
289       |neg            |0.5            |godzilla       |-8.425915910200011 
290       |neg            |0.5            |pacing         |-9.589066720005693 
291       |neg            |0.5            |low-level      |-11.891651812999738 
292       |neg            |0.5            |assume         |-10.045825122501407 
293       |neg            |0.5            |pacino         |-10.351206772052588 
294       |neg            |0.5            |memory         |-10.351206772052588 
295       |neg            |0.5            |kramer         |-11.891651812999738 
296       |neg            |0.5            |farmers        |-11.891651812999738 
297       |neg            |0.5            |disaster       |-8.785571482276882 
298       |neg            |0.5            |chilling       |-11.603969740547956 
299       |neg            |0.5            |construed      |-11.891651812999738 
300       |neg            |0.5            |offerings      |-11.198504632439793 
301       |neg            |0.5            |deservedly     |-11.891651812999738 
302       |neg            |0.5            |hyams          |-11.044353952612534 
303       |neg            |0.5            |shore          |-11.380826189233748 
304       |neg            |0.5            |bicker         |-11.380826189233748 
305       |neg            |0.5            |lifestyle      |-11.044353952612534 
306       |neg            |0.5            |pumping        |-11.603969740547956 
307       |neg            |0.5            |stylish        |-9.994531828113857 
308       |neg            |0.5            |marvel         |-10.910822559988011 
309       |neg            |0.5            |hutton         |-11.044353952612534 
310       |neg            |0.5            |disney         |-8.982930916435377 
311       |neg            |0.5            |short          |-8.415553123164464 
312       |neg            |0.5            |replete        |-11.198504632439793 
313       |neg            |0.5            |rebecca        |-9.899221648309531 
314       |neg            |0.5            |rewarding      |-11.603969740547956 
315       |neg            |0.5            |dogmatic       |-12.990264101667847 
316       |neg            |0.5            |attitudes      |-11.603969740547956 
317       |neg            |0.5            |obstacles      |-11.198504632439793 
318       |neg            |0.5            |ninety         |-10.910822559988011 
319       |neg            |0.5            |listless       |-11.380826189233748 
320       |neg            |0.5            |facade         |-11.891651812999738 
321       |neg            |0.5            |sadistic       |-10.282213900565637 
322       |neg            |0.5            |consistency    |-11.198504632439793 
323       |neg            |0.5            |trains         |-11.380826189233748 
324       |neg            |0.5            |coats          |-12.297116921107902 
325       |neg            |0.5            |chiseled       |-11.603969740547956 
326       |neg            |0.5            |specifically   |-10.425314744206311 
327       |neg            |0.5            |enter          |-9.771388276799646 
328       |neg            |0.5            |gallery        |-11.603969740547956 
329       |neg            |0.5            |vomiting       |-11.380826189233748 
330       |neg            |0.5            |sessions       |-11.198504632439793 
331       |neg            |0.5            |flowers        |-10.793039524331629 
332       |neg            |0.5            |cameron        |-9.994531828113857 
333       |neg            |0.5            |convincing     |-9.119063090759957 
334       |neg            |0.5            |lomax          |-10.505357451879847 
335       |neg            |0.5            |goodman        |-10.217675379428066 
336       |neg            |0.5            |dates          |-10.793039524331629 
337       |neg            |0.5            |hostage        |-9.899221648309531 
338       |neg            |0.5            |creative       |-9.589066720005693 
339       |neg            |0.5            |coast          |-11.198504632439793 
340       |neg            |0.5            |bright         |-9.326702455538202 
341       |neg            |0.5            |breckin        |-11.603969740547956 
342       |neg            |0.5            |planned        |-10.910822559988011 
343       |neg            |0.5            |benefactor     |-11.603969740547956 
344       |neg            |0.5            |stereotyped    |-11.044353952612534 
345       |neg            |0.5            |frivolous      |-11.380826189233748 
346       |neg            |0.5            |assure         |-11.891651812999738 
347       |neg            |0.5            |jackie         |-9.183601611897528 
348       |neg            |0.5            |wallet         |-11.380826189233748 
349       |neg            |0.5            |performer      |-10.351206772052588 
350       |neg            |0.5            |performed      |-11.891651812999738 
351       |neg            |0.5            |precarious     |-12.990264101667847 
352       |neg            |0.5            |fetch          |-11.198504632439793 
353       |neg            |0.5            |barely         |-8.982930916435377 
354       |neg            |0.5            |prevalent      |-11.891651812999738 
355       |neg            |0.5            |hanging        |-10.045825122501407 
356       |neg            |0.5            |dad            |-9.493756540201367 
357       |neg            |0.5            |possession     |-11.198504632439793 
358       |neg            |0.5            |runaway        |-10.793039524331629 
359       |neg            |0.5            |dan            |-10.351206772052588 
360       |neg            |0.5            |dam            |-11.198504632439793 
361       |neg            |0.5            |enlightening   |-11.891651812999738 
362       |neg            |0.5            |emptiness      |-11.603969740547956 
363       |neg            |0.5            |shows          |-8.138233837748231 
364       |neg            |0.5            |shown          |-9.14011649995779 
365       |neg            |0.5            |jordan         |-10.687679008673802 
366       |neg            |0.5            |audible        |-11.198504632439793 
367       |neg            |0.5            |das            |-12.990264101667847 
368       |neg            |0.5            |goodnight      |-11.891651812999738 
369       |neg            |0.5            |showy          |-12.990264101667847 
370       |neg            |0.5            |pointing       |-10.793039524331629 
371       |neg            |0.5            |trucks         |-11.044353952612534 
372       |neg            |0.5            |day            |-7.556542098113608 
373       |neg            |0.5            |maverick       |-11.380826189233748 
374       |neg            |0.5            |stereotypes    |-9.658059591492643 
375       |neg            |0.5            |viewings       |-11.603969740547956 
376       |neg            |0.5            |socks          |-12.297116921107902 
377       |neg            |0.5            |artwork        |-11.891651812999738 
378       |neg            |0.5            |psychlo        |-10.099892343771684 
379       |neg            |0.5            |unabashedly    |-11.380826189233748 
380       |neg            |0.5            |countless      |-9.732167563646366 
381       |neg            |0.5            |fervor         |-11.603969740547956 
382       |neg            |0.5            |concentrating  |-11.380826189233748 
383       |neg            |0.5            |critical       |-9.945741663944425 
384       |neg            |0.5            |envision       |-11.891651812999738 
385       |neg            |0.5            |`music         |-12.990264101667847 
386       |neg            |0.5            |sporadically   |-11.198504632439793 
387       |neg            |0.5            |brimming       |-11.603969740547956 
388       |neg            |0.5            |guarded        |-11.198504632439793 
389       |neg            |0.5            |regulars       |-11.044353952612534 
390       |neg            |0.5            |dated          |-10.687679008673802 
391       |neg            |0.5            |possessing     |-10.910822559988011 
392       |neg            |0.5            |exotic         |-10.687679008673802 
393       |neg            |0.5            |psychic        |-10.505357451879847 
394       |neg            |0.5            |hinges         |-11.603969740547956 
395       |neg            |0.5            |introduction   |-10.910822559988011 
396       |neg            |0.5            |spiteful       |-11.891651812999738 
397       |neg            |0.5            |cursing        |-11.603969740547956 
398       |neg            |0.5            |revenge        |-9.25259448338448 
399       |neg            |0.5            |utopia         |-11.891651812999738 
400       |neg            |0.5            |noticing       |-11.603969740547956 
401       |neg            |0.5            |chauffeur      |-11.891651812999738 
402       |neg            |0.5            |threads        |-11.044353952612534 
403       |neg            |0.5            |concentration  |-11.891651812999738 
404       |neg            |0.5            |heavily        |-9.493756540201367 
405       |neg            |0.5            |gingerbread    |-12.990264101667847 
406       |neg            |0.5            |confession     |-11.198504632439793 
407       |neg            |0.5            |third          |-8.713597982651793 
408       |neg            |0.5            |further        |-9.0782410962397 
409       |neg            |0.5            |demands        |-10.099892343771684 
410       |neg            |0.5            |dearest        |-11.198504632439793 
411       |neg            |0.5            |siren          |-11.891651812999738 
412       |neg            |0.5            |dee            |-11.603969740547956 
413       |neg            |0.5            |presidents     |-11.891651812999738 
414       |neg            |0.5            |del            |-10.282213900565637 
415       |neg            |0.5            |den            |-11.603969740547956 
416       |neg            |0.5            |viewing        |-9.556276897182702 
417       |neg            |0.5            |der            |-10.592368828869477 
418       |neg            |0.5            |meier          |-11.198504632439793 
419       |neg            |0.5            |contradictions |-11.891651812999738 
420       |neg            |0.5            |clyde          |-12.990264101667847 
421       |neg            |0.5            |poseidon       |-12.297116921107902 
422       |neg            |0.5            |crisp          |-10.910822559988011 
423       |neg            |0.5            |carefully      |-10.592368828869477 
424       |neg            |0.5            |going          |-7.058018914219837 
425       |neg            |0.5            |charlton       |-11.044353952612534 
426       |neg            |0.5            |shock          |-9.379346189023623 
427       |neg            |0.5            |impact         |-9.03902038308642 
428       |neg            |0.5            |adulthood      |-11.891651812999738 
429       |neg            |0.5            |whipped        |-11.198504632439793 
430       |neg            |0.5            |buyer          |-11.380826189233748 
431       |neg            |0.5            |touted         |-11.603969740547956 
432       |neg            |0.5            |attitude       |-9.589066720005693 
433       |neg            |0.5            |treatment      |-9.945741663944425 
434       |neg            |0.5            |average        |-9.161622705178752 
435       |neg            |0.5            |compare        |-10.217675379428066 
436       |neg            |0.5            |valmont        |-10.687679008673802 
437       |neg            |0.5            |slow-moving    |-11.198504632439793 
438       |neg            |0.5            |bodies         |-9.899221648309531 
439       |neg            |0.5            |virtues        |-11.380826189233748 
440       |neg            |0.5            |choosing       |-11.044353952612534 
441       |neg            |0.5            |elijah         |-10.910822559988011 
442       |neg            |0.5            |unlike         |-9.183601611897528 
443       |neg            |0.5            |superbly       |-11.198504632439793 
444       |neg            |0.5            |volcano        |-9.945741663944425 
445       |neg            |0.5            |so-called      |-10.157050757611632 
446       |neg            |0.5            |leblanc        |-11.198504632439793 
447       |neg            |0.5            |business       |-8.620816249200827 
448       |neg            |0.5            |who've         |-11.380826189233748 
449       |neg            |0.5            |yeager         |-12.990264101667847 
450       |neg            |0.5            |partly         |-10.687679008673802 
451       |neg            |0.5            |alex's         |-11.603969740547956 
452       |neg            |0.5            |shoes          |-11.044353952612534 
453       |neg            |0.5            |leoni          |-10.592368828869477 
454       |neg            |0.5            |taught         |-11.044353952612534 
455       |neg            |0.5            |bickering      |-10.505357451879847 
456       |neg            |0.5            |firestorm      |-10.910822559988011 
457       |neg            |0.5            |borrow         |-11.044353952612534 
458       |neg            |0.5            |maximum        |-10.910822559988011 
459       |neg            |0.5            |desert         |-9.945741663944425 
460       |neg            |0.5            |quartet        |-11.198504632439793 
461       |neg            |0.5            |did            |-7.129477878201982 
462       |neg            |0.5            |quarter        |-10.505357451879847 
463       |neg            |0.5            |maximus        |-12.990264101667847 
464       |neg            |0.5            |die            |-8.686199008463678 
465       |neg            |0.5            |battling       |-10.910822559988011 
466       |neg            |0.5            |dig            |-10.592368828869477 
467       |neg            |0.5            |hollywood      |-7.780777948826427 
468       |neg            |0.5            |cecil          |-12.990264101667847 
469       |neg            |0.5            |dil            |-12.990264101667847 
470       |neg            |0.5            |dim            |-11.198504632439793 
471       |neg            |0.5            |poignancy      |-11.603969740547956 
472       |neg            |0.5            |rockwell       |-11.380826189233748 
473       |neg            |0.5            |forgotten      |-9.524528198868122 
474       |neg            |0.5            |evils          |-11.891651812999738 
475       |neg            |0.5            |businessman    |-10.793039524331629 
476       |neg            |0.5            |sumptuous      |-11.603969740547956 
477       |neg            |0.5            |seasons        |-11.891651812999738 
478       |neg            |0.5            |stray          |-11.198504632439793 
479       |neg            |0.5            |static         |-10.910822559988011 
480       |neg            |0.5            |journey        |-9.854769885738698 
481       |neg            |0.5            |finally        |-8.130451697306176 
482       |neg            |0.5            |remained       |-10.793039524331629 
483       |neg            |0.5            |louisiana      |-11.891651812999738 
484       |neg            |0.5            |brown          |-9.694427235663518 
485       |neg            |0.5            |inventive      |-10.217675379428066 
486       |neg            |0.5            |hideous        |-10.592368828869477 
487       |neg            |0.5            |laced          |-11.603969740547956 
488       |neg            |0.5            |acceptance     |-11.891651812999738 
489       |neg            |0.5            |kimble         |-12.990264101667847 
490       |neg            |0.5            |deserving      |-11.198504632439793 
491       |neg            |0.5            |distract       |-10.910822559988011 
492       |neg            |0.5            |vigilante      |-11.198504632439793 
493       |neg            |0.5            |virtual        |-10.045825122501407 
494       |neg            |0.5            |anita          |-11.380826189233748 
495       |neg            |0.5            |pumped         |-11.380826189233748 
496       |neg            |0.5            |daryl          |-10.592368828869477 
497       |neg            |0.5            |kline          |-10.157050757611632 
498       |neg            |0.5            |back           |-7.013913192369914 
499       |neg            |0.5            |mack           |-10.793039524331629 
500       |neg            |0.5            |states         |-9.493756540201367 
501       |neg            |0.5            |pales          |-11.891651812999738 
502       |neg            |0.5            |sheets         |-11.380826189233748 
503       |neg            |0.5            |pound          |-11.380826189233748 
504       |neg            |0.5            |houston        |-11.380826189233748 
505       |neg            |0.5            |company        |-8.863129716622757 
506       |neg            |0.5            |thomas         |-9.326702455538202 
507       |neg            |0.5            |scorsese's     |-11.891651812999738 
508       |neg            |0.5            |gen-x          |-11.891651812999738 
509       |neg            |0.5            |billions       |-10.910822559988011 
510       |neg            |0.5            |crazed         |-10.217675379428066 
511       |neg            |0.5            |relax          |-11.603969740547956 
512       |neg            |0.5            |length         |-9.589066720005693 
513       |neg            |0.5            |babe           |-9.899221648309531 
514       |neg            |0.5            |concerns       |-10.351206772052588 
515       |neg            |0.5            |baby           |-9.14011649995779 
516       |neg            |0.5            |critic's       |-12.297116921107902 
517       |neg            |0.5            |ludicrous      |-9.524528198868122 
518       |neg            |0.5            |showing        |-9.03902038308642 
519       |neg            |0.5            |suzanne        |-11.891651812999738 
520       |neg            |0.5            |messenger'     |-10.910822559988011 
521       |neg            |0.5            |armies         |-11.603969740547956 
